,LATITUDE,LONGITUDE,ZIP CODE
2309,40.681126,-73.96446,11238
2312,40.65735,-73.97405,11218
2316,40.633152,-74.01639,11220
2318,40.68796,-73.94194,11221
2321,40.63552,-74.0167,11220
2324,40.69979,-73.950096,11206
2325,40.853813,-73.90734,10457
2332,40.814102,-73.940865,10037
2341,40.709206,-73.99607,10002
2343,40.707783,-73.932076,11237
2349,40.587303,-73.96036,11235
2354,40.599247,-74.00146,11214
2358,40.612564,-73.98998,11204
2365,40.67989,-73.94034,11207
2374,40.68218,-73.94659,11216
2382,40.788986,-73.97407,10024
2384,40.822308,-73.93859,10039
2389,40.596745,-73.985275,11214
2393,40.74641,-73.95032,11101
2401,40.75167,-73.94188,11101
2403,40.820435,-73.93623,10031
2409,40.748466,-73.87352,11373
2412,40.63073,-74.01734,11209
2413,40.76531,-73.99134,10019
2415,40.605495,-73.98307,11223
2428,40.691765,-73.99992,11208
2431,40.69149,-73.92557,11221
2433,40.70281,-73.9254,11237
2437,40.743267,-73.874664,11373
2440,40.703545,-73.92234,11237
2442,40.825897,-73.93936,10039
2443,40.75388,-73.96616,10022
2448,40.689728,-73.99017,11201
2450,40.746918,-73.97124,10174
2453,40.79157,-73.94469,10029
2454,40.782055,-73.95373,10128
2461,40.6481,-73.91474,11236
2471,40.7606,-73.964325,10022
2473,40.71337,-73.934814,11237
2481,40.68039,-73.94956,11216
2483,40.678722,-73.952995,11226
2488,40.68029,-73.94774,11216
2493,40.69613,-73.987114,11201
2494,40.807087,-73.94178,10027
2495,40.745113,-73.98067,10016
2496,40.73032,-74.00469,10014
2497,40.748466,-73.99247,10001
2499,40.678455,-73.949684,11235
2500,40.75005,-73.80634,11358
2503,40.811478,-73.950226,10027
2506,40.605618,-73.75666,11691
2512,40.6796,-73.80349,11436
2513,40.684937,-73.91014,11207
2523,40.815205,-73.947495,10027
2528,40.733303,-73.99333,10003
2538,40.598553,-73.997345,11214
2539,40.69133,-73.95177,11221
2540,40.717922,-73.9931,10002
2544,40.573013,-73.993835,11224
2548,40.698696,-73.93477,11206
2553,40.825954,-73.94337,10031
2556,40.735844,-74.00597,10014
2561,40.60827,-73.94232,11229
2562,40.731873,-74.00879,10014
2571,40.820095,-73.955086,10031
2585,40.820095,-73.955086,10031
2589,40.795525,-73.97594,10025
2592,40.73833,-73.8499,11368
2593,40.636826,-74.011765,11220
2599,40.684624,-73.93838,11221
2603,40.735752,-73.88052,11373
2606,40.67035,-73.89743,11207
2608,40.696785,-73.95659,11205
2623,40.756138,-73.98318,10019
2627,40.58604,-74.16859,10314
2632,40.75355,-73.98505,10019
2634,40.690563,-73.94536,11221
2638,40.818504,-73.91448,10455
2644,40.77912,-73.984985,10023
2651,40.820435,-73.93623,10031
2652,40.695995,-73.96742,11205
2661,40.63948,-74.016174,11220
2667,40.735752,-73.88052,11373
2671,40.839767,-73.905396,10470
2672,40.72293,-73.847336,11375
2678,40.695705,-73.94637,11206
2679,40.714073,-73.95534,11211
2684,40.71249,-73.93848,11211
2685,40.753857,-73.91764,11103
2686,40.690926,-73.92066,11221
2687,40.87022,-73.9147,10034
2689,40.695114,-73.911865,11221
2693,40.8283,-73.88296,10472
2697,40.592472,-73.80244,11692
2702,40.7118,-73.94224,11206
2708,40.755516,-73.98363,10036
2709,40.747765,-73.98296,10016
2712,40.830845,-73.93154,10452
2715,40.805725,-73.95442,10026
2717,40.817898,-73.938095,10030
2720,40.80054,-73.96192,10025
2721,40.869656,-73.898926,10468
2727,40.67004,-73.93658,11213
2733,40.6174,-73.9995,11204
2735,40.606762,-74.16583,10314
2743,40.7332923,-73.9871799,10003
2746,40.86811,-73.91976,10034
2749,40.830994,-73.928116,10452
2750,40.781693,-73.82225,11357
2754,40.74017,-73.97615,10016
2755,40.868702,-73.88472,10458
2758,40.652626,-74.00617,11232
2759,40.827812,-73.925934,10452
2761,40.698696,-73.93477,11206
2763,40.72015,-73.93783,11222
2766,40.728363,-74.00282,10014
2767,40.745308,-73.90753,11377
2770,40.610214,-73.94371,11229
2775,40.748863,-73.97584,10016
2778,40.748512,-73.98872,10001
2786,40.65317,-73.9616,11226
2787,40.690468,-73.9879,11217
2791,40.766876,-73.97908,10019
2794,40.725243,-74.01006,10005
2802,40.63834,-74.01736,11220
2804,40.619267,-74.1382,10314
2807,40.60719,-74.16243,10314
2815,40.62528,-74.13548,10303
2816,40.643425,-74.01207,11220
2823,40.697716,-73.967735,11205
2832,40.8398,-73.928665,10452
2833,40.697582,-73.92983,11237
2836,40.75539,-73.828285,11355
2839,40.71808,-73.95962,11249
2840,40.62757,-73.976585,11220
2846,40.730118,-73.86232,11375
2854,40.6355203,-74.0166962,11220
2857,40.8782149,-73.8411402,10469
2858,40.6675755,-73.729503,11422
2868,40.696033,-73.984535,11201
2871,40.857418,-73.89996,10468
2886,40.8548229,-73.911194,10453
2894,40.7489568,-73.8713571,11372
2896,40.6369521,-74.0224794,11220
2899,40.8317235,-73.9150083,10456
2901,40.6531723,-73.9615966,11226
2902,40.761585,-73.76086,11361
2907,40.66495,-73.993355,11215
2908,40.658875,-73.94753,11225
2917,40.8548229,-73.911194,10453
2919,40.6789349,-73.9619567,11238
2923,40.697075,-73.93185,11221
2925,40.63552,-74.0167,11220
2928,40.85025,-73.9007,10457
2929,40.8228364,-73.9419157,10031
2930,40.7506611,-73.9877793,10001
2934,40.8409687,-73.899174,10457
2938,40.58117,-73.95989,11235
2941,40.67417,-73.95671,11238
2942,40.6775,-73.94701,11216
2943,40.6840001,-73.9503006,11221
2944,40.6952888,-73.9433863,11206
2945,40.6957047,-73.9463647,11206
2948,40.826275,-73.85971,10472
2956,40.695995,-73.96742,11205
2960,40.81914,-73.93719,10030
2968,40.760662,-73.814,11355
2969,40.812737,-73.93762,10030
2972,40.753605,-73.9871,10018
2979,40.729168,-74.0012,10012
2980,40.624878,-73.96418,11230
2981,40.78356,-73.82449,11354
2988,40.764988,-73.82067,11362
2990,40.752098,-73.94425,11101
2994,40.78028,-73.98153,10023
3001,40.634964,-74.0204,11209
3009,40.713795,-73.944275,11211
3015,40.802532,-73.95303,10026
3020,40.627453,-73.97807,11204
3022,40.835724,-73.92129,10452
3024,40.7744252,-73.8987909,11105
3026,40.75595,-73.99074,10036
3028,40.82967,-73.931076,10452
3030,40.75829,-73.83431,11354
3032,40.74906,-73.870384,11372
3037,40.692024,-73.9818,11201
3038,40.678318,-73.94693,11216
3039,40.752724,-73.996796,10019
3041,40.696674,-73.957535,11205
3042,40.69584,-73.92959,11221
3043,40.6873,-73.973656,11217
3046,40.78393,-73.94423,10129
3053,40.7071535,-73.9314809,11206
3070,40.65073,-73.9719,11218
3073,40.68902,-73.98617,11217
3075,40.693874,-73.91777,11221
3078,40.818504,-73.91448,10455
3087,40.74017,-73.97615,10016
3099,40.67766,-73.968864,11238
3114,40.600883,-73.958681,11229
3115,40.70154,-73.93837,11206
3116,40.721233,-73.98778,10002
3120,40.759197,-73.98463,10019
3122,40.840874,-73.91979,10452
3124,40.69925,-73.973206,11251
3126,40.67973,-73.9374,11213
3130,40.715622,-73.99428,10002
3133,40.66895,-73.9339,11203
3134,40.683723,-73.96797,11207
3136,40.69657,-73.95844,11205
3137,40.682835,-73.94092,11216
3141,40.665916,-73.92547,11212
3146,40.85573,-73.910416,10453
3147,40.672363,-73.9308,11213
3149,40.729755,-74.00217,10014
3151,40.821175,-73.92574,10451
3152,40.76548,-73.913704,11103
3156,40.810062,-73.95497,10027
3166,40.679565,-73.93436,11213
3167,40.583725,-73.89372,11234
3173,40.85071,-73.865906,10462
3183,40.833088,-73.91904,10452
3184,40.712524,-73.962555,11249
3190,40.6802,-73.953285,11216
3191,40.673965,-73.99998,11231
3193,40.830936,-73.91241,10456
