COLLISION_ID,index,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,STREET
4273940,13247,1/14/20,18:00:00,BROOKLYN,11226,40.65217,-73.96141,"(40.65217, -73.96141)",1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,OCEAN AVENUE
4274113,13324,1/14/20,22:00:00,BRONX,10472,40.8252,-73.867714,"(40.8252, -73.867714)",1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,Sedan,Bike,ROSEDALE AVENUE
4279802,13368,1/15/20,6:00:00,QUEENS,11373,40.739113,-73.88975,"(40.739113, -73.88975)",1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Bike,QUEENS BOULEVARD
4277045,13359,1/15/20,7:00:00,BROOKLYN,11201,40.69192,-73.97896,"(40.69192, -73.97896)",1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,ASHLAND PLACE
4273547,13318,1/15/20,10:00:00,BROOKLYN,11209,40.62214,-74.02567,"(40.62214, -74.02567)",1,0,0,0,1,0,0,0,Unspecified,Unspecified,Sedan,E-Scooter,85 STREET
4274014,13283,1/15/20,11:00:00,MANHATTAN,10032,40.844677,-73.93886,"(40.844677, -73.93886)",1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,Bike,BROADWAY
4273925,13339,1/15/20,11:00:00,QUEENS,11373,40.748367,-73.87693,"(40.748367, -73.87693)",1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,Sedan,Bike,CASE STREET
4274062,13331,1/15/20,16:00:00,BRONX,10460,40.84183,-73.88389,"(40.84183, -73.88389)",1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Bike,Sedan,EAST TREMONT AVENUE
4273756,13327,1/15/20,18:00:00,QUEENS,11101,40.748924,-73.937386,"(40.748924, -73.937386)",1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,Pick-up Truck,Bike,QUEENS BOULEVARD
4273761,13315,1/15/20,18:00:00,BROOKLYN,11213,40.672077,-73.941956,"(40.672077, -73.941956)",1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,Sedan,Bike,STERLING PLACE
