collision_id,dates,times,borough,zip_code,latitude,longitude,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,vehicle_type_code_1,vehicle_type_code_2,street,bike_lane,day_of_week,month,temperature,visibility,humidity,wind_speed,weather_main
4272920,1/13/20,16:00:00,BROOKLYN,11215,40.66822,-73.97383,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,sedan,Bike,PROSPECT PARK WEST,0,Monday,January,43.32,10000,73,9.17,Clouds
4272920,1/13/20,16:00:00,BROOKLYN,11215,40.66822,-73.97383,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,sedan,Bike,PROSPECT PARK WEST,0,Monday,January,43.32,10000,73,9.17,Clouds
4272907,1/13/20,16:00:00,BROOKLYN,11221,40.69579,-73.93313,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inattention/Distraction,bike,Sedan,BROADWAY,0,Monday,January,43.32,10000,73,9.17,Clouds
4272907,1/13/20,16:00:00,BROOKLYN,11221,40.69579,-73.93313,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inattention/Distraction,bike,Sedan,BROADWAY,0,Monday,January,43.32,10000,73,9.17,Clouds
4277714,1/13/20,17:00:00,QUEENS,11354,40.77001,-73.811264,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,station wagon/sport utility vehicle,Bike,32 AVENUE,0,Monday,January,44.02,10000,74,8.05,Clouds
4277714,1/13/20,17:00:00,QUEENS,11354,40.77001,-73.811264,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,station wagon/sport utility vehicle,Bike,32 AVENUE,0,Monday,January,44.02,10000,74,8.05,Clouds
4273052,1/13/20,17:00:00,BRONX,10452,40.839603,-73.918144,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Driver Inexperience,sedan,E-Scooter,JEROME AVENUE,0,Monday,January,44.02,10000,74,8.05,Clouds
4273052,1/13/20,17:00:00,BRONX,10452,40.839603,-73.918144,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Driver Inexperience,sedan,E-Scooter,JEROME AVENUE,0,Monday,January,44.02,10000,74,8.05,Clouds
4273276,1/13/20,19:00:00,QUEENS,11103,40.767353,-73.9177,1,0,0,0,1,0,0,0,Unsafe Speed,Unspecified,e-scooter,Sedan,28 AVENUE,0,Monday,January,45.18,10000,76,9.17,Haze
4272889,1/13/20,22:00:00,MANHATTAN,10128,40.783245,-73.94473,1,0,0,0,1,0,0,0,Unspecified,Unspecified,taxi,Bike,1 AVENUE,0,Monday,January,45.14,10000,76,8.05,Mist
4273321,1/14/20,8:00:00,BROOKLYN,11229,40.613052,-73.94913,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,bike,Taxi,KINGS HIGHWAY,0,Tuesday,January,42.01,10000,86,6.93,Clear
4273540,1/14/20,11:00:00,BROOKLYN,11221,40.696003,-73.9299,1,0,0,0,1,0,0,0,Unsafe Speed,Unspecified,sedan,Bike,BUSHWICK AVENUE,0,Tuesday,January,40.48,9656,87,9.17,Mist
4273330,1/14/20,13:00:00,BROOKLYN,11222,40.724873,-73.953445,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,E-Bike,NORMAN AVENUE,0,Tuesday,January,40.55,9656,86,8.05,Mist
4273330,1/14/20,13:00:00,BROOKLYN,11222,40.724873,-73.953445,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,E-Bike,NORMAN AVENUE,0,Tuesday,January,40.55,9656,86,8.05,Mist
4277906,1/14/20,13:00:00,QUEENS,11368,40.746387,-73.85991,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,sedan,Bike,104 STREET,0,Tuesday,January,40.55,9656,86,8.05,Mist
4277906,1/14/20,13:00:00,QUEENS,11368,40.746387,-73.85991,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,sedan,Bike,104 STREET,0,Tuesday,January,40.55,9656,86,8.05,Mist
4273449,1/14/20,14:00:00,MANHATTAN,10012,40.724136,-73.992615,1,0,0,0,1,0,0,0,Unsafe Lane Changing,Unspecified,van,Bike,BOWERY,1,Tuesday,January,41.43,10000,83,5.99,Mist
4273940,1/14/20,18:00:00,BROOKLYN,11226,40.65217,-73.96141,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,OCEAN AVENUE,0,Tuesday,January,44.6,10000,67,8.05,Rain
4274113,1/14/20,22:00:00,BRONX,10472,40.8252,-73.867714,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,Bike,ROSEDALE AVENUE,0,Tuesday,January,42.53,10000,82,10.29,Haze
