COLLISION_ID,DATES,TIME,DAY_OF_WEEK,MONTH,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,STREET,TEMP,VISIBILITY,HUMIDITY,WIND_SPEED,WEATHER_MAIN,BIKE_LANE
4273925," January 15, 2020",11:00:00,Wednesday,January,QUEENS,11373,40.748367,-73.87693,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,sedan,Bike,CASE STREET,42.76,10000.00,88,16.11,Clouds,0
4274062," January 15, 2020",16:00:00,Wednesday,January,BRONX,10460,40.84183,-73.88389,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,bike,Sedan,EAST TREMONT AVENUE,47.93,10000.00,55,14.99,Clear,0
4273756," January 15, 2020",18:00:00,Wednesday,January,QUEENS,11101,40.748924,-73.937386,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,pick-up truck,Bike,QUEENS BOULEVARD,50.43,10000.00,49,12.75,Clear,0
4273761," January 15, 2020",18:00:00,Wednesday,January,BROOKLYN,11213,40.672077,-73.941956,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,Bike,STERLING PLACE,50.43,10000.00,49,12.75,Clear,1
4273765," January 15, 2020",19:00:00,Wednesday,January,QUEENS,11104,40.742508,-73.91788,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,GREENPOINT AVENUE,51.3,10000.00,47,11.41,Clear,0
4273801," January 15, 2020",19:00:00,Wednesday,January,MANHATTAN,10016,40.744778,-73.97589,1,0,0,0,1,0,0,0,Unsafe Lane Changing,Other Lighting Defects,taxi,E-Bike,2 AVENUE,51.3,10000.00,47,11.41,Clear,0
4273879," January 15, 2020",20:00:00,Wednesday,January,MANHATTAN,10012,40.72545,-73.99305,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,station wagon/sport utility vehicle,E-Bike,BLEECKER STREET,51.78,10000.00,46,10.29,Clear,1
4273915," January 15, 2020",21:00:00,Wednesday,January,QUEENS,11414,40.65736,-73.84046,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,station wagon/sport utility vehicle,Bike,160 AVENUE,50.86,10000.00,48,12.75,Clear,0
4274753," January 16, 2020",1:00:00,Thursday,January,BROOKLYN,11208,40.677624,-73.93308,1,0,0,0,1,0,0,0,Pavement Slippery,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,sedan,E-Scooter,ATLANTIC AVENUE,46.4,10000.00,58,6.93,Clear,1
4274766," January 16, 2020",14:00:00,Thursday,January,BRONX,10462,40.84062,-73.85409,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,station wagon/sport utility vehicle,Bike,METROPOLITAN AVENUE,48.27,9656.00,83,33.33,Rain,0
4274355," January 16, 2020",17:00:00,Thursday,January,QUEENS,11375,40.72703,-73.85392,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,station wagon/sport utility vehicle,Bike,67 AVENUE,48.85,10000.00,43,32.21,Rain,0
