,BOROUGH,STREET,BIKE_DIR,LANE_COUNT,FT_FACILIT,LATITUDE1,LONGITUDE1,LATITUDE2,LONGITUDE2
7322,BROOKLYN,74 ST,R,1,Standard,40.746641,-73.891391,40.745203,-73.89111
7324,BRONX,SOUTHERN BL,R,1,Curbside,40.866794,-73.880895,40.866882,-73.880719
7325,STATEN ISLAND,BAYONNE BRIDGE,2,2,Protected Path,40.632263,-74.145091,40.632292,-74.145188
7338,MANHATTAN,EVANS ROAD,2,2,Greenway,40.688182,-74.014904,40.688849,-74.01505
7341,BROOKLYN,73 PLACE,L,1,,40.705541,-73.876536,40.705061,-73.876521
7343,BROOKLYN,51 ST,L,1,,40.746031,-73.913373,40.744806,-73.913626
7365,BRONX,SOUTHERN BL,2,2,Sidewalk,40.867712,-73.879545,40.86804,-73.879095
7366,BRONX,PELHAM PKWY GREENWAY,2,2,Greenway,40.857377,-73.871083,40.857808,-73.871033
7377,QUEENS,FLATBUSH AV,R,1,Signed Route,40.660897,-73.960877,40.660587,-73.960632
7382,QUEENS,CROPSEY AV,2,2,Signed Route,40.57903,-73.985342,40.578937,-73.985211
7395,QUEENS,FLUSHING AV,L,1,,40.700105,-73.947248,40.700123,-73.947128
7403,BROOKLYN,80 ST,2,2,Sharrows,40.718338,-73.873848,40.718252,-73.873581
7405,STATEN ISLAND,SAND LA,R,1,Sharrows,40.589747,-74.066169,40.589718,-74.066118
7407,QUEENS,P P 16 ST APPR,L,1,,40.657697,-73.973549,40.658003,-73.973068
7414,QUEENS,CENTER DR,R,1,Greenway,40.658535,-73.973279,40.65844,-73.9732
7416,QUEENS,P P GAP EXIT,L,1,,40.672642,-73.969664,40.672324,-73.969693
7425,QUEENS,BUFFALO AV,2,2,Curbside,40.666296,-73.925866,40.665917,-73.925463
7429,QUEENS,FRANKLIN AV,R,1,Standard,40.678571,-73.955167,40.678343,-73.955196
7438,QUEENS,VAN SICLEN AV,2,2,Standard,40.664047,-73.888108,40.663899,-73.888213
7450,MANHATTAN,UNION SQ W,L,1,,40.735215,-73.991715,40.735888,-73.991211
7457,MANHATTAN,CHERRY ST,L,1,,40.710776,-73.992726,40.7108,-73.992602
7459,MANHATTAN,ALLEN ST,L,2,,40.714564,-73.992901,40.715113,-73.992599
7470,MANHATTAN,BROOME ST,R,1,Standard,40.724267,-74.004739,40.724403,-74.006041
7481,MANHATTAN,W 9 ST,R,1,Standard,40.734149,-73.999018,40.734139,-73.999186
7482,MANHATTAN,2 AV,L,1,,40.724009,-73.990995,40.724274,-73.990819
7483,MANHATTAN,2 AV,L,1,,40.746078,-73.974936,40.746325,-73.974763
7488,MANHATTAN,C P W 72 APPR,R,1,Greenway,40.774957,-73.97546,40.774799,-73.975437
7489,MANHATTAN,MARGARET CORBIN PLZ,R,1,Signed Route,40.859429,-73.934223,40.859423,-73.934229
7491,MANHATTAN,ST NICHOLAS AVE,L,1,,40.842332,-73.939027,40.842347,-73.93894
7493,MANHATTAN,C P S 7 AV APPR,L,1,,40.766876,-73.979077,40.76729,-73.978754
7499,MANHATTAN,C P W 67 APPR,2,2,Greenway,40.773032,-73.978282,40.772631,-73.977238
7504,MANHATTAN,C P W 72 APPR,L,1,,40.774957,-73.97546,40.774881,-73.975385
7505,MANHATTAN,C P W 72 APPR,2,2,Greenway,40.776747,-73.974652,40.776256,-73.975077
7510,MANHATTAN,ST NICHOLAS AV,R,1,Standard,40.84168,-73.939335,40.841711,-73.939231
7521,BROOKLYN,MEMORIAL DR,2,2,Greenway,40.702217,-73.842031,40.702358,-73.84213
7531,BRONX,MELROSE AV,L,1,,40.816101,-73.91779,40.816761,-73.91746
7535,MANHATTAN,MADISON ST,2,2,Sharrows,40.713555,-73.980853,40.713762,-73.97929
7546,BROOKLYN,99 ST,2,2,Sharrows,40.744577,-73.862983,40.744352,-73.863179
7548,BROOKLYN,BROADWAY,R,1,Curbside,40.746812,-73.89175,40.746641,-73.891391
7557,MANHATTAN,E 2 ST,R,1,Standard,40.724617,-73.989649,40.724293,-73.98889
7562,BROOKLYN,COOPER AVENUE,2,2,Sharrows,40.708446,-73.871862,40.709004,-73.87064
7578,BRONX,UNIVERSITY AVENUE,2,2,Sharrows,40.843282,-73.924915,40.843477,-73.924662
7580,BRONX,SEDGWICK AVE,2,2,Sharrows,40.852675,-73.919096,40.852771,-73.918838
7591,BROOKLYN,55 AV,L,1,,40.736219,-73.875229,40.736482,-73.874271
7597,BROOKLYN,41 AV,2,2,Sharrows,40.744958,-73.893443,40.744981,-73.893244
7600,BROOKLYN,ELMHURST AV,R,1,Sharrows,40.7494,-73.875724,40.749887,-73.875435
7605,BRONX,E TREMONT AV,R,1,Curbside,40.848397,-73.902102,40.848058,-73.901981
7606,BRONX,E TREMONT AV,R,1,Sharrows,40.848058,-73.901981,40.847777,-73.901654
7607,BRONX,E TREMONT AV,L,1,,40.848397,-73.902102,40.848372,-73.902047
7616,BRONX,E 188 ST,R,1,Standard,40.862117,-73.899437,40.861771,-73.898674
7617,BRONX,STRONG ST,L,1,,40.870857,-73.89779,40.871071,-73.8983
7620,BROOKLYN,MARTENSE AV,R,1,Sharrows,40.738855,-73.858439,40.738923,-73.858236
7639,BROOKLYN,41 AV,R,1,Sharrows,40.748803,-73.863082,40.748842,-73.862951
7650,BROOKLYN,ROCKAWAY BEACH BLVD,L,1,,40.569142,-73.864466,40.568788,-73.865343
7654,MANHATTAN,ROOSEVELT ISLAND GREENWAY,2,2,Greenway,40.770515,-73.940396,40.770549,-73.940379
7655,MANHATTAN,C P W 100 APPR,R,1,Greenway,40.793657,-73.961637,40.793629,-73.961569
7656,MANHATTAN,C P LENOX APPR,R,1,Greenway,40.798212,-73.953802,40.798226,-73.953928
7657,MANHATTAN,C P E 102 APPR,R,1,Greenway,40.792556,-73.954547,40.79257,-73.954662
7659,BRONX,BRONXWOOD AVE,R,1,Standard,40.891353,-73.851742,40.891535,-73.851499
7668,STATEN ISLAND,VAN DUZER ST,L,1,,40.62734,-74.080996,40.627351,-74.081652
7698,MANHATTAN,C P W 77 APPR,2,2,Greenway,40.778797,-73.972902,40.778691,-73.972902
7702,MANHATTAN,C P W 85 APPR,R,1,Greenway,40.783677,-73.969119,40.783469,-73.969133
7704,MANHATTAN,EAST DR,2,2,Greenway,40.773158,-73.968824,40.773352,-73.969
7705,MANHATTAN,C P E 72 APPR,L,1,,40.772826,-73.968074,40.772821,-73.968137
7712,MANHATTAN,C P W 90 APPR,2,2,Greenway,40.787861,-73.967449,40.787853,-73.967423
7724,MANHATTAN,C P W 110 APPR,2,2,Greenway,40.799711,-73.957817,40.79966,-73.957833
7756,BROOKLYN,11 St,R,1,,40.743656,-73.95129,40.7434,-73.951362
7759,BROOKLYN,GREENPOINT AV,R,1,Standard,40.734315,-73.938015,40.734544,-73.937428
7763,BROOKLYN,48 ST,R,1,Standard,40.733208,-73.918814,40.732829,-73.918868
7778,BRONX,PELHAM PKWY N,L,1,,40.858161,-73.855995,40.858172,-73.855854
7786,BRONX,BRONXWOOD AVE,L,1,,40.891353,-73.851742,40.89163,-73.851829
7814,BROOKLYN,WILLETS POINT BL,R,1,Standard,40.776542,-73.824868,40.775915,-73.825831
7815,BROOKLYN,WILLETS POINT BL,R,1,Curbside,40.776743,-73.824331,40.776542,-73.824868
7831,BRONX,UNIVERSITY AVENUE,R,1,Sharrows,40.842099,-73.92623,40.842553,-73.925827
7834,MANHATTAN,FRANKFORT ST,L,1,,40.711175,-74.003911,40.711403,-74.004274
7836,BROOKLYN,JACOB RIIS BOARDWALK,2,2,Boardwalk,40.56493,-73.87321,40.565044,-73.873342
7842,BRONX,ORCHARD BEACH BOARDWALK,2,2,Boardwalk,40.862376,-73.794046,40.862578,-73.794195
7844,QUEENS,MN BEACH BOARDWALK,2,2,Boardwalk,40.575505,-73.94168,40.57554,-73.940509
7850,BROOKLYN,BOARDWALK,2,2,Boardwalk,40.595553,-73.74417,40.594816,-73.747116
7854,QUEENS,P P BARTEL PRITCHARD SQ APPR,R,1,Greenway,40.661387,-73.977601,40.661138,-73.978017
7855,QUEENS,P P GAP ENTRANCE,R,1,Greenway,40.672631,-73.970002,40.672299,-73.969829
7866,QUEENS,11 AVE,L,1,,40.654489,-73.979029,40.654376,-73.979136
7867,QUEENS,P P OCEAN AV APPR,2,2,Greenway,40.655665,-73.963153,40.655632,-73.963154
7872,QUEENS,WEST DR,R,1,Greenway,40.671186,-73.969321,40.671207,-73.96948
7874,MANHATTAN,E 52 ST,2,2,Sharrows,40.75513,-73.965241,40.754219,-73.963109
7879,BROOKLYN,JACOB RIIS PARK DRIVEWAY,L,1,,40.568999,-73.865464,40.569041,-73.865226
7885,MANHATTAN,RIVERSIDE DR,2,2,Sharrows,40.851821,-73.941852,40.852385,-73.941284
7888,BRONX,W TREMONT AVE,L,1,,40.852807,-73.918079,40.852813,-73.918117
7891,MANHATTAN,FT GEORGE HILL,2,2,Protected Path,40.85811,-73.927122,40.858275,-73.9271
