,COLLISION_ID,DATES,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,STREET,BIKE_LANE,DAY_OF_WEEK,MONTH
88,4275361," January 17, 2020",16:00:00,QUEENS,11378,40.716793,-73.92155,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,station wagon/sport utility vehicle,Bike,GRAND AVENUE,0,Friday,January
89,4278341," January 17, 2020",19:00:00,BRONX,10452,40.844063,-73.921,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,e-scooter,Station Wagon/Sport Utility Vehicle,WEST 172 STREET,0,Friday,January
90,4275307," January 17, 2020",21:00:00,QUEENS,11105,40.775368,-73.90962,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,station wagon/sport utility vehicle,Bike,DITMARS BOULEVARD,0,Friday,January
91,4276160," January 18, 2020",12:00:00,BRONX,10458,40.86226,-73.89589,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,bike,Sedan,EAST FORDHAM ROAD,0,Saturday,January
92,4275212," January 18, 2020",18:00:00,MANHATTAN,10003,40.732643,-73.98157,1,0,0,0,1,0,0,0,Driver Inexperience,Unspecified,station wagon/sport utility vehicle,Bike,EAST 16 STREET,1,Saturday,January
93,4276287," January 18, 2020",20:00:00,MANHATTAN,10005,40.70638,-74.009514,1,0,0,0,1,0,0,0,Passenger Distraction,Unspecified,taxi,Bike,WILLIAM STREET,1,Saturday,January
94,4276633," January 19, 2020",0:00:00,QUEENS,11377,40.74573,-73.90212,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,station wagon/sport utility vehicle,Bike,ROOSEVELT AVENUE,0,Sunday,January
95,4275506," January 19, 2020",9:00:00,QUEENS,11370,40.76757,-73.90052,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,station wagon/sport utility vehicle,Bike,ASTORIA BOULEVARD,0,Sunday,January
96,4275698," January 19, 2020",9:00:00,QUEENS,11373,40.737335,-73.870415,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,sedan,Bike,92 STREET,0,Sunday,January
97,4276660," January 19, 2020",11:00:00,MANHATTAN,10029,40.792927,-73.94791,1,0,0,0,1,0,0,0,Following Too Closely,Unspecified,taxi,Bike,EAST 106 STREET,0,Sunday,January
98,4275841," January 19, 2020",15:00:00,QUEENS,11103,40.76548,-73.913704,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,Bike,STEINWAY STREET,0,Sunday,January
99,4275877," January 19, 2020",21:00:00,MANHATTAN,10009,40.729427,-73.97801,1,0,0,0,1,0,0,0,Passenger Distraction,Driver Inattention/Distraction,taxi,Bike,EAST 14 STREET,1,Sunday,January
100,4279423," January 20, 2020",10:00:00,BRONX,10472,40.83082,-73.87001,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,station wagon/sport utility vehicle,Bike,WESTCHESTER AVENUE,0,Monday,January
101,4276527," January 20, 2020",18:00:00,BROOKLYN,11218,40.65159,-73.98112,1,0,0,0,1,0,0,0,Unspecified,Unspecified,station wagon/sport utility vehicle,Bike,MC DONALD AVENUE,1,Monday,January
102,4276898," January 20, 2020",21:00:00,BROOKLYN,11218,40.632088,-73.97433,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,pick-up truck,Bike,EAST 4 STREET,1,Monday,January
103,4282658," January 21, 2020",9:00:00,BROOKLYN,11212,40.6733,-73.90392,1,0,0,0,1,0,0,0,Following Too Closely,Unspecified,sedan,Bike,JUNIUS STREET,1,Tuesday,January
104,4279925," January 21, 2020",13:00:00,BRONX,10461,40.849335,-73.84944,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,YATES AVENUE,0,Tuesday,January
105,4276973," January 21, 2020",17:00:00,QUEENS,11367,40.72002,-73.81834,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,e-scooter,Sedan,MAIN STREET,0,Tuesday,January
106,4277653," January 21, 2020",19:00:00,MANHATTAN,10010,40.740112,-73.98222,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,sedan,Bike,EAST 25 STREET,1,Tuesday,January
107,4277400," January 22, 2020",0:00:00,MANHATTAN,10019,40.763485,-73.98895,1,0,0,0,1,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,bike,Taxi,9 AVENUE,1,Wednesday,January
108,4284319," January 22, 2020",23:00:00,BROOKLYN,11221,40.691948,-73.939835,1,0,0,0,1,0,0,0,Passing Too Closely,Unspecified,taxi,Bike,MARCUS GARVEY BOULEVARD,0,Wednesday,January
109,4277776," January 23, 2020",1:00:00,MANHATTAN,10011,40.73407,-73.999664,1,0,0,0,1,0,0,0,Unspecified,Unspecified,bike,Sedan,GREENWICH AVENUE,1,Thursday,January
110,4278324," January 23, 2020",19:00:00,QUEENS,11377,40.743454,-73.91484,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,motorcycle,E-Scooter,50 STREET,0,Thursday,January
111,4278152," January 23, 2020",20:00:00,BRONX,10453,40.853474,-73.906456,1,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,Bike,WALTON AVENUE,0,Thursday,January
112,4278553," January 23, 2020",20:00:00,BROOKLYN,11221,40.692783,-73.91181,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Traffic Control Disregarded,sedan,Sedan,WILSON AVENUE,1,Thursday,January
113,4278673," January 23, 2020",22:00:00,BROOKLYN,11203,40.660355,-73.93521,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,sedan,Bike,EAST 46 STREET,0,Thursday,January
